ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,PERIODO,ESTU_CONSECUTIVO,ESTU_ESTUDIANTE,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,ESTU_DEPTO_RESIDE,ESTU_COD_RESIDE_DEPTO,ESTU_MCPIO_RESIDE,ESTU_COD_RESIDE_MCPIO,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_CODIGO_ICFES,COLE_COD_DANE_ESTABLECIMIENTO,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_COD_DANE_SEDE,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,COLE_COD_DEPTO_UBICACION,COLE_DEPTO_UBICACION,ESTU_PRIVADO_LIBERTAD,ESTU_COD_MCPIO_PRESENTACION,ESTU_MCPIO_PRESENTACION,ESTU_DEPTO_PRESENTACION,ESTU_COD_DEPTO_PRESENTACION,PUNT_GLOBAL,ESTU_NSE_INDIVIDUAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_ESTADOINVESTIGACION,edad,INSE,GLOBAL_CATEGORICO
9,2,0,20194,28057,0,2,1,18,76.0,12,76001.0,6,9,0,2,4,0,0,0,0,1,0,0,0,0,2,2,2,4,9,2,4,4,0,0,118448,176001014359,248,2,1,0,0,3,176001014359,273,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,174,0,2.0,1,17.0,37.1,0
9,2,1,20171,6277,0,2,0,18,76.0,12,76001.0,6,11,2,1,1,1,1,1,1,1,0,0,1,0,1,3,1,9,9,1,0,2,0,0,95786,376001013203,194,2,0,1,0,2,376001013203,217,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,238,2,3.0,1,17.0,54.7,0
9,2,0,20222,69057,0,2,0,18,76.0,12,76001.0,9,9,2,2,4,1,1,1,1,1,0,1,0,0,0,1,0,4,11,0,0,2,0,0,41392,376001011316,89,2,0,0,0,2,376001011316,54,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,197,1,3.0,1,15.0,50.7,0
9,2,1,20202,42024,0,2,0,18,76.0,12,76001.0,4,6,1,2,4,1,1,1,0,0,0,0,0,0,0,0,0,2,11,0,0,1,2,1,268201,176001025946,270,2,1,0,0,3,176001025946,294,1,1,4,76001,0,76,0,0,76001.0,11,25,76.0,248,1,2.0,1,17.0,45.2,0
9,2,0,20214,46803,0,2,0,18,76.0,12,76001.0,0,8,2,1,1,1,1,1,1,1,0,0,0,3,3,3,0,11,2,0,0,3,3,1,734749,176001007166,288,2,1,0,0,3,176001007166,309,1,1,5,76001,0,76,0,0,76001.0,11,25,76.0,263,2,3.0,1,17.0,58.9,0
9,2,1,20202,43731,0,2,0,18,76.0,12,76001.0,6,8,2,1,4,0,0,0,0,1,1,0,0,0,0,1,0,9,11,2,4,1,0,0,735597,176001029411,213,2,1,0,0,3,176001003012,408,0,1,5,76001,0,76,0,0,76001.0,11,25,76.0,240,1,3.0,1,16.0,42.6,0
9,2,0,20214,53620,0,2,0,18,76.0,12,76001.0,4,10,1,2,4,1,1,1,0,0,0,0,0,1,1,1,0,6,11,0,2,0,0,0,267658,176001007875,290,2,1,0,0,3,176001012089,406,0,1,1,76001,0,76,0,0,76001.0,11,25,76.0,218,2,3.0,1,17.0,51.3,0
9,2,0,20214,54412,0,2,0,18,76.0,12,76001.0,7,0,2,3,0,1,1,1,0,1,1,1,0,3,3,3,3,3,10,0,1,3,0,0,726141,176001005813,242,2,1,0,0,3,176001005813,268,1,1,5,76001,0,76,0,0,76001.0,11,25,76.0,261,2,3.0,1,16.0,62.4,0
9,2,1,20202,35303,0,2,0,18,76.0,12,76001.0,9,9,1,1,2,1,0,1,1,1,0,1,0,2,0,3,0,9,9,1,2,2,1,1,150110,376001021362,54,2,0,0,0,2,376001021362,73,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,257,1,3.0,1,16.0,46.9,0
9,2,0,20202,36170,0,2,0,18,76.0,12,76001.0,7,8,1,2,0,1,1,1,0,0,0,1,0,0,0,0,0,8,4,0,2,1,0,0,169458,376001037234,370,2,0,0,0,2,376001037234,400,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,242,1,3.0,1,15.0,47.9,0
