PERIODO,COLE_COD_DANE_ESTABLECIMIENTO,COLE_COD_DANE_SEDE,PUNT_GLOBAL,edad,ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_PAIS_RESIDE,ESTU_DEPTO_RESIDE,ESTU_MCPIO_RESIDE,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_MCPIO_UBICACION,COLE_DEPTO_UBICACION,GLOBAL_CATEGORICO
20214,376001000000.0,376001000000.0,241,17.0,10,7,1,7,23,16,8,8,2,2,2,1,1,1,0,1,0,1,1,2,3,3,1,6,11,1,2,3,0,0,430,2,0,0,1,3,473,1,1,2,0,0,0
20172,176001000000.0,176001000000.0,259,18.0,0,7,0,7,23,16,6,6,1,1,2,1,1,1,1,1,0,0,0,0,0,3,1,11,11,0,1,1,0,0,357,2,1,0,0,3,383,1,1,4,0,0,0
20172,376001000000.0,376001000000.0,230,16.0,10,7,1,7,23,16,8,6,0,2,4,1,0,1,0,1,0,1,1,0,3,3,3,2,11,1,4,1,0,0,39,1,0,0,0,2,59,1,1,1,0,0,0
20222,376001000000.0,376001000000.0,162,16.0,10,7,1,7,23,16,2,7,1,0,5,0,0,0,0,1,0,0,0,0,1,1,2,5,5,0,4,2,1,0,406,2,0,0,0,0,306,1,1,2,0,0,0
20202,376001000000.0,376001000000.0,246,17.0,1,33,0,33,23,16,9,9,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,4,11,0,2,0,0,0,255,2,0,0,0,1,288,1,1,1,0,0,0
20181,376001000000.0,376001000000.0,213,17.0,10,7,1,7,23,16,9,9,2,1,4,1,1,1,0,1,0,1,0,0,1,3,2,3,11,0,4,0,0,0,265,2,0,1,0,0,302,1,1,4,0,0,0
20201,376001000000.0,376001000000.0,233,17.0,10,7,0,7,23,16,8,10,2,0,2,1,1,1,1,1,0,0,1,0,1,3,1,6,8,0,4,3,0,0,218,0,0,1,0,3,248,1,1,0,0,0,0
20222,176001000000.0,176001000000.0,235,17.0,0,7,1,7,23,16,10,10,2,1,2,1,1,1,1,1,0,0,1,1,0,3,2,2,4,2,0,3,3,0,355,2,1,0,0,3,384,1,1,5,0,0,0
20202,176001000000.0,176001000000.0,189,15.0,10,7,0,7,23,16,8,8,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,4,4,0,2,2,0,0,344,2,1,0,0,3,374,1,1,4,0,0,0
20222,376001000000.0,376001000000.0,271,16.0,1,33,1,33,23,16,9,8,1,3,1,1,1,1,0,0,1,0,1,0,1,0,2,8,1,2,0,2,1,0,111,2,0,0,0,3,139,1,1,1,0,0,0
